TemperatureC,Humidity,PressurehPa,WindDirectionDegrees,SolarRadiationWatts/m^2,DewpointC,WindSpeedKMH,datetime
15.175,88.25,1011.7,110.75,0,13.25,12.75833333,2014-04-15T01:00:00Z
15.21666667,88,1011.475,91,0,13.21666667,6.55,2014-04-15T02:00:00Z
15.1,87,1010.925,109.25,0,12.9,1.866666667,2014-04-15T03:00:00Z
15.03333333,87.16666667,1010.475,110.75,0,12.875,0.666666667,2014-04-15T04:00:00Z
14.86666667,87.16666667,1010.133333,104.5,0,12.78333333,1.333333333,2014-04-15T05:00:00Z
14.75833333,87.91666667,1010,95,0,12.79166667,2.533333333,2014-04-15T06:00:00Z
14.66153846,88,1010.353846,60.38461538,2,12.7,3.569230769,2014-04-15T07:00:00Z
14.55,87.58333333,1011.066667,314,89.75,12.54166667,4.808333333,2014-04-15T08:00:00Z
15.61666667,76.5,1011.25,332.5833333,265.5833333,11.34166667,6.016666667,2014-04-15T09:00:00Z
17.8,37.66666667,1011.325,269.9166667,454.8333333,3.116666667,16.21666667,2014-04-15T10:00:00Z
18.68333333,32.16666667,1011.575,251.0833333,614.3333333,1.666666667,17.16666667,2014-04-15T11:00:00Z
18.96666667,31.58333333,1011.933333,285.8333333,725.5,1.708333333,22.65833333,2014-04-15T12:00:00Z
18.83333333,32.5,1012.1,129,651.1666667,2.008333333,29.21666667,2014-04-15T13:00:00Z
19.025,33.33333333,1012.1,237.5833333,787.8333333,2.516666667,25.60833333,2014-04-15T14:00:00Z
19.75,20.83333333,1012.275,155.1666667,809.6666667,-3.575,25.46666667,2014-04-15T15:00:00Z
20.18333333,17.83333333,1012.366667,230.9166667,723,-5.083333333,21.31666667,2014-04-15T16:00:00Z
19.975,21.83333333,1012.825,320.8333333,588.1666667,-2.491666667,22.94166667,2014-04-15T17:00:00Z
19.68333333,20.75,1013.15,267.9166667,427.4166667,-3.425,18.5,2014-04-15T18:00:00Z
19.43333333,21.41666667,1013.475,321.5,128.75,-3.191666667,23.46666667,2014-04-15T19:00:00Z
18.93333333,23.08333333,1013.7,278.8333333,53.5,-2.6,11.525,2014-04-15T20:00:00Z
17.60833333,27.75,1014.3,336.3333333,1.333333333,-1.308333333,5.616666667,2014-04-15T21:00:00Z
14.34166667,40.08333333,1014.95,343,0,0.925,13.15,2014-04-15T22:00:00Z
12.66923077,46.07692308,1015.438462,341,0,1.338461538,15.85384615,2014-04-15T23:00:00Z
12.15833333,47.25,1015.8,331.0833333,0,1.233333333,12.60833333,2014-04-16T00:00:00Z
12.15833333,46.08333333,1016.1,330.9166667,0,0.908333333,7.1,2014-04-16T01:00:00Z
10.53333333,43.41666667,931.425,315.3333333,0,0.625,8.7,2014-04-16T02:00:00Z
11.66666667,43,1016.008333,336.25,0,-0.5,6.691666667,2014-04-16T03:00:00Z
11.65,42,1015.8,321.75,0,-0.825,4.8,2014-04-16T08:00:00Z
11.72,46.2,1019.74,319,65,0.5,8.66,2014-04-16T09:00:00Z
13.61666667,41.33333333,1020.2,299.4166667,286.3333333,0.691666667,3.866666667,2014-04-16T10:00:00Z
14.375,47.58333333,1020.633333,194.8333333,450.5833333,3.333333333,11.38333333,2014-04-16T11:00:00Z
13.7,55.66666667,1020.983333,131.5833333,527.9166667,4.966666667,16.75833333,2014-04-16T12:00:00Z
14.35833333,51.91666667,1020.625,202.6666667,795.5833333,4.591666667,6.966666667,2014-04-16T13:00:00Z
16.74166667,27.75,1019.975,200.9166667,856.75,-2.458333333,11.94166667,2014-04-16T14:00:00Z
17.35,23.5,1019.9,140.1666667,813.75,-3.741666667,15.55833333,2014-04-16T15:00:00Z
16.925,32.08333333,1019.666667,174.4166667,731.3333333,-0.5,11.26666667,2014-04-16T16:00:00Z
17,36.33333333,1019.2,176.1666667,603.25,1.475,7.1,2014-04-16T17:00:00Z
15.60833333,50.5,1019.033333,160.3333333,437.5833333,5.341666667,14.08333333,2014-04-16T18:00:00Z
15.48333333,53.08333333,1018.833333,179.6666667,129.8333333,5.966666667,9.933333333,2014-04-16T19:00:00Z
15.725,49.83333333,1019.2,199.25,56.91666667,5.283333333,4.008333333,2014-04-16T20:00:00Z
14.18333333,45.83333333,1019.375,320.0833333,1.916666667,2.675,7.383333333,2014-04-16T21:00:00Z
11.78333333,44.08333333,1019.8,339.4166667,0,-0.05,14.76666667,2014-04-16T22:00:00Z
